tempProm	nave	mes 	alimentos	expected
22.5	3	4	1	0
31	6	2	3	0
17.5	3	11	1	0
21	6	6	3	1
24	3	3	1	1
24.5	2	1	1	1
24.5	2	1	1	0
27	4	9	2	1
29.5	6	11	3	0
22.5	5	5	2	0
18.5	2	7	1	0
23.5	3	4	1	0
30.5	6	4	3	1
22	2	2	1	0
24	1	8	1	1
23.5	7	10	3	0
24.5	5	7	2	0
21.5	4	6	2	1
27.5	6	1	3	0
21	5	3	2	1
23.5	3	6	1	1
28.5	6	12	3	1
23.5	5	5	2	1
27	4	4	2	1
26	3	3	1	1
28	4	10	2	1
26	5	9	2	0
22	7	1	3	0
26	4	8	2	0
26	4	8	2	1
24	6	10	3	1
31.5	2	11	1	1
21.5	1	4	1	0
24.5	3	7	1	0
28	1	7	1	0
23.5	1	10	1	0
22.5	6	10	3	1
30	1	3	1	0
18.5	1	1	1	0
22.5	5	3	2	1
28.5	7	11	3	0
23.5	5	2	2	0
29	6	5	3	1
26	6	6	3	1
26	6	5	3	1
30.5	2	4	1	1
31.5	1	2	1	0
28.5	3	10	1	0
20	2	5	1	1
20.5	3	1	1	1
27	5	1	2	1
26.5	3	7	1	0
29.5	4	6	2	0
31	6	5	3	0
23	5	2	2	1
21.5	5	11	2	0
23	4	2	2	0
30.5	7	8	3	1
22	2	3	1	1
21	4	1	2	0
20.5	2	3	1	0
24.5	5	4	2	1
26.5	3	6	1	1
28	7	9	3	0
24.5	1	1	1	0
24	4	4	2	0
28.5	1	7	1	0
28.5	3	9	1	0
19	5	12	2	1
26.5	1	4	1	0
24.5	1	8	1	1
21	4	12	2	1
21.5	5	5	2	0
28.5	4	10	2	0
23.5	6	7	3	0
30	6	3	3	0
20.5	7	2	3	0
22	7	9	3	1
25	1	2	1	0
21	5	6	2	0
25.5	2	3	1	1
19	1	1	1	1
26.5	5	1	2	0
26	6	2	3	1
24.5	2	12	1	1
21.5	5	1	2	1
20.5	7	9	3	0
26.5	7	6	3	0
25	4	3	2	0
27	4	11	2	0
25.5	2	2	1	0
26.5	1	9	1	0
29.5	2	6	1	1
26.5	6	1	3	1
31	7	12	3	1
22.5	1	6	1	1
24	6	7	3	0
24.5	5	2	2	0
24	7	7	3	1
23	2	1	1	0
27.5	6	4	3	0
29	3	2	1	0
20	5	9	2	0
22	7	3	3	1
21.5	7	6	3	1
23	3	8	1	1
28	1	3	1	0
22	3	10	1	0
24	4	9	2	1
20.5	7	4	3	1
24	4	3	2	1
26	2	10	1	0
19.5	1	9	1	0
25	2	5	1	1
26	2	7	1	0
25	4	3	2	0
25	7	5	3	1
22.5	3	9	1	1
23	5	8	2	0
18.5	4	3	2	1
25	1	2	1	0
26	1	11	1	0
29	4	2	2	0
22	3	7	1	0
22.5	5	4	2	1
23	5	6	2	0
27.5	5	2	2	1
27	7	1	3	0
18	3	7	1	1
26	3	8	1	0
21	4	2	2	0
21.5	7	2	3	0
23.5	1	11	1	0
23.5	6	2	3	0
26	1	8	1	0
22.5	2	2	1	0
19.5	1	8	1	0
22.5	3	7	1	0
22	1	4	1	1
22	1	5	1	1
28.5	6	7	3	0
23.5	1	12	1	1
23	5	12	2	0
24.5	5	7	2	0
24.5	4	3	2	0
27	1	7	1	0
24.5	6	8	3	0
22	5	9	2	0
25.5	4	1	2	1
24.5	4	10	2	0
22	2	8	1	0
24.5	3	1	1	0
26.5	3	3	1	1
22.5	1	3	1	0
25	7	4	3	1
25	6	7	3	1
18	3	2	1	1
28	5	2	2	1
27.5	6	9	3	0
23.5	1	1	1	1
26.5	7	4	3	1
24.5	6	12	3	0
21	7	10	3	1
22.5	6	6	3	1
22	4	3	2	1
25.5	6	3	3	1
31	5	4	2	1
